id,name,mw,sf
HMDB05176,Dolichol-20,1381.27822,C100H164O
HMDB11985,Ganglioside GT1b (d18:1/22:1(13Z)),2181.119189,C100H172N4O47
HMDB12015,Ganglioside GT1c (d18:1/22:1(13Z)),2181.119189,C100H172N4O47
HMDB11970,Ganglioside GT1b (d18:0/22:1(13Z)),2183.134839,C100H174N4O47
HMDB11984,Ganglioside GT1b (d18:1/22:0),2183.134839,C100H174N4O47
HMDB12000,Ganglioside GT1c (d18:0/22:1(13Z)),2183.134839,C100H174N4O47
HMDB12014,Ganglioside GT1c (d18:1/22:0),2183.134839,C100H174N4O47
HMDB11969,Ganglioside GT1b (d18:0/22:0),2185.150489,C100H176N4O47
HMDB11999,Ganglioside GT1c (d18:0/22:0),2185.150489,C100H176N4O47
HMDB32436,Mono- and diglycerides,1741.359228,C100H188O22
HMDB11947,Ganglioside GQ1c (d18:1/12:0),2334.073755,C101H171N5O55
HMDB11932,Ganglioside GQ1c (d18:0/12:0),2336.089405,C101H173N5O55
HMDB11986,Ganglioside GT1b (d18:1/23:0),2197.150489,C101H176N4O47
HMDB12016,Ganglioside GT1c (d18:1/23:0),2197.150489,C101H176N4O47
HMDB11971,Ganglioside GT1b (d18:0/23:0),2199.166139,C101H178N4O47
HMDB12001,Ganglioside GT1c (d18:0/23:0),2199.166139,C101H178N4O47
HMDB12255,Mannosyl-(N-acetylglucosaminyl)2-diphosphodolichol,1837.172048,C102H170N2O22P2
HMDB59953,Maltohepatdecaose,2772.908563,C102H172O86
HMDB11988,Ganglioside GT1b (d18:1/24:1(15Z)),2209.150489,C102H176N4O47
HMDB12018,Ganglioside GT1c (d18:1/24:1(15Z)),2209.150489,C102H176N4O47
HMDB11973,Ganglioside GT1b (d18:0/24:1(15Z)),2211.166139,C102H178N4O47
HMDB11987,Ganglioside GT1b (d18:1/24:0),2211.166139,C102H178N4O47
HMDB12003,Ganglioside GT1c (d18:0/24:1(15Z)),2211.166139,C102H178N4O47
HMDB12017,Ganglioside GT1c (d18:1/24:0),2211.166139,C102H178N4O47
HMDB11972,Ganglioside GT1b (d18:0/24:0),2213.181789,C102H180N4O47
HMDB12002,Ganglioside GT1c (d18:0/24:0),2213.181789,C102H180N4O47
HMDB11948,Ganglioside GQ1c (d18:1/14:0),2362.105055,C103H175N5O55
HMDB11933,Ganglioside GQ1c (d18:0/14:0),2364.120705,C103H177N5O55
HMDB11989,Ganglioside GT1b (d18:1/25:0),2225.181789,C103H180N4O47
HMDB12019,Ganglioside GT1c (d18:1/25:0),2225.181789,C103H180N4O47
HMDB11974,Ganglioside GT1b (d18:0/25:0),2227.197439,C103H182N4O47
HMDB12004,Ganglioside GT1c (d18:0/25:0),2227.197439,C103H182N4O47
HMDB11991,Ganglioside GT1b (d18:1/26:1(17Z)),2237.181789,C104H180N4O47
HMDB12021,Ganglioside GT1c (d18:1/26:1(17Z)),2237.181789,C104H180N4O47
HMDB11976,Ganglioside GT1b (d18:0/26:1(17Z)),2239.197439,C104H182N4O47
HMDB11990,Ganglioside GT1b (d18:1/26:0),2239.197439,C104H182N4O47
HMDB12006,Ganglioside GT1c (d18:0/26:1(17Z)),2239.197439,C104H182N4O47
HMDB12020,Ganglioside GT1c (d18:1/26:0),2239.197439,C104H182N4O47
HMDB11975,Ganglioside GT1b (d18:0/26:0),2241.213089,C104H184N4O47
HMDB12005,Ganglioside GT1c (d18:0/26:0),2241.213089,C104H184N4O47
HMDB11949,Ganglioside GQ1c (d18:1/16:0),2390.136355,C105H179N5O55
HMDB11934,Ganglioside GQ1c (d18:0/16:0),2392.152005,C105H181N5O55
HMDB11951,Ganglioside GQ1c (d18:1/18:1(11Z)),2416.152005,C107H181N5O55
HMDB11952,Ganglioside GQ1c (d18:1/18:1(9Z)),2416.152005,C107H181N5O55
HMDB11936,Ganglioside GQ1c (d18:0/18:1(11Z)),2418.167655,C107H183N5O55
HMDB11937,Ganglioside GQ1c (d18:0/18:1(9Z)),2418.167655,C107H183N5O55
HMDB11950,Ganglioside GQ1c (d18:1/18:0),2418.167655,C107H183N5O55
HMDB11935,Ganglioside GQ1c (d18:0/18:0),2420.183305,C107H185N5O55
HMDB12118,(Mannosyl)2-(N-acetylglucosaminyl)2-diphosphodolichol,1999.224872,C108H180N2O27P2
HMDB59954,Maltooctadecaose,2934.961386,C108H182O91
HMDB11953,Ganglioside GQ1c (d18:1/20:0),2446.198955,C109H187N5O55
HMDB11938,Ganglioside GQ1c (d18:0/20:0),2448.214605,C109H189N5O55
HMDB59603,Chlordecone,485.6834417,C10Cl10O
HMDB59573,Mirex,539.6262325,C10Cl12
HMDB06240,Demethylated antipyrine,174.079313,C10H10N2O
HMDB29739,1H-Indole-3-acetamide,174.079313,C10H10N2O
HMDB31173,6-Hydroxy-1H-indole-3-acetamide,190.0742276,C10H10N2O2
HMDB60603,N-acetyl zonisamide,254.0361275,C10H10N2O4S
HMDB32414,2-Methyl-3 or 5 or 6-(furfurylthio)pyrazine (mixture of isomers),206.0513836,C10H10N2OS
HMDB36187,2-[(2-Furanylmethyl)thio]-6-methylpyrazine,206.0513836,C10H10N2OS
HMDB35175,2-Amino-16-dimethylfuro[32-e]imidazo[45-b]pyridine,202.085461,C10H10N4O
HMDB14503,Sulfadiazine,250.0524463,C10H10N4O2S
HMDB61068,S-methylazathioprine,292.0616683,C10H10N7O2S
HMDB29602,4-Phenyl-2-butenal,146.0731649,C10H10O
HMDB29640,3-(4-Methylphenyl)-2-propenal,146.0731649,C10H10O
HMDB31566,2-Methyl-3-phenyl-2-propenal,146.0731649,C10H10O
HMDB31617,Benzylideneacetone,146.0731649,C10H10O
HMDB31619,2-Phenyl-2-butenal,146.0731649,C10H10O
HMDB33176,23-Dimethylbenzofuran,146.0731649,C10H10O
HMDB35925,4-(1-Methylethenyl)benzaldehyde,146.0731649,C10H10O
HMDB59897,Benzofuran 47-dimethyl-,146.0731649,C10H10O
HMDB29714,45-Dihydro-1-benzoxepin-3(2H)-one,162.0680796,C10H10O2
HMDB32611,3-(4-Methoxyphenyl)-2-propenal,162.0680796,C10H10O2
HMDB33591,Safrole,162.0680796,C10H10O2
HMDB33830,Cassiastearoptene,162.0680796,C10H10O2
HMDB33833,Methyl cinnamate,162.0680796,C10H10O2
HMDB38893,36-Dimethyl-2(3H)-benzofuranone,162.0680796,C10H10O2
HMDB40577,Cinnamyl formate,162.0680796,C10H10O2
HMDB40592,Allyl benzoate,162.0680796,C10H10O2
HMDB60335,12-Dihydronaphthalene-12-diol,162.0680796,C10H10O2
HMDB41503,Bis(2-furanylmethyl) sulfide,194.0401503,C10H10O2S
HMDB29988,Bis(2-furanylmethyl) disulfide,226.0122209,C10H10O2S2
HMDB32288,Furfuryl 2-methyl-3-furyl disulfide,226.0122209,C10H10O2S2
HMDB40201,33'-Dithiobis[2-methylfuran],226.0122209,C10H10O2S2
HMDB36168,Bis(2-methyl-3-furanyl)tetrasulfide,289.9563623,C10H10O2S4
HMDB02040,4-Methoxycinnamic acid,178.0629942,C10H10O3
HMDB30903,3-(4-Methylphenyl)oxiranecarboxylic acid,178.0629942,C10H10O3
HMDB31055,(Z)-10-Hydroxy-8-decene-46-diynoic acid,178.0629942,C10H10O3
HMDB33248,Di-alpha-furfuryl ether,178.0629942,C10H10O3
HMDB38712,(S)-Isosclerone,178.0629942,C10H10O3
HMDB38965,(E)-10-Hydroxy-2-decene-46-diynoic acid,178.0629942,C10H10O3
HMDB39471,3-(4-Hydroxy-2-methoxyphenyl)-2-propenal,178.0629942,C10H10O3
HMDB00954,trans-Ferulic acid,194.0579088,C10H10O4
HMDB00955,Isoferulic acid,194.0579088,C10H10O4
HMDB02120,Monoethyl phthalate,194.0579088,C10H10O4
HMDB29663,Vanillin acetate,194.0579088,C10H10O4
HMDB30765,(-)-trans-34-Dihydro-48-dihydroxy-3-methyl-1H-2-benzopyran-1-one,194.0579088,C10H10O4
HMDB32614,Piperonyl acetate,194.0579088,C10H10O4
HMDB32652,Meconine,194.0579088,C10H10O4
HMDB37644,3-(2-Hydroxy-3-methoxyphenyl)-2-propenoic acid,194.0579088,C10H10O4
HMDB39606,Repandiol,194.0579088,C10H10O4
HMDB59721,mono-Benzyl malonate,194.0579088,C10H10O4
HMDB11714,Vanilpyruvic acid,210.0528234,C10H10O5
HMDB35484,3-(34-Dihydroxy-5-methoxy)-2-propenoic acid,210.0528234,C10H10O5
HMDB12199,Chorismate,226.0477381,C10H10O6
HMDB12283,Prephenate,226.0477381,C10H10O6
HMDB33842,34-Dimethoxy-12-benzenedicarboxylic acid,226.0477381,C10H10O6
HMDB33893,45-Dimethoxy-12-benzenedicarboxylic acid,226.0477381,C10H10O6
HMDB29200,Ferulic acid 4-sulfate,274.0147234,C10H10O7S
HMDB41748,Isoferulic acid 3-sulfate,274.0147234,C10H10O7S
HMDB32982,22'-Dithenyl sulfide,225.9944624,C10H10S3
HMDB14769,Clofarabine,303.0534452,C10H11ClFN5O3
HMDB14576,Trifluridine,296.0620061,C10H11F3N2O5
HMDB32967,24-Dimethyl-1H-indole,145.0891494,C10H11N
HMDB15150,Sulfamethoxazole,253.0521119,C10H11N3O3S
HMDB13852,Sulfamethoxazole N4-hydroxylamine,269.0470265,C10H11N3O4S
HMDB60529,5-Hydroxysulfamethoxazole,269.0470265,C10H11N3O4S
HMDB60985,sulfamethoxazole hydroxylamine,269.0470265,C10H11N3O4S
HMDB11680,Inosine 2'3'-cyclic phosphate ,330.0365352,C10H11N4O7P
HMDB11683,Molybdopterin precursor Z,344.0396092,C10H11N5O7P
HMDB03447,Tryptophanol,161.084064,C10H11NO
HMDB30267,(R)-Boschniakine,161.084064,C10H11NO
HMDB40028,1-(23-Dihydro-1H-pyrrolizin-5-yl)-2-propen-1-one,161.084064,C10H11NO
HMDB40042,3-[(5-Methyl-2-furanyl)methyl]-1H-pyrrole,161.084064,C10H11NO
HMDB40048,34-Dihydro-4-[(5-methyl-2-furanyl)methylene]-2H-pyrrole,161.084064,C10H11NO
HMDB01855,5-Hydroxytryptophol,177.0789786,C10H11NO2
HMDB12490,12-Dehydrosalsolinol,177.0789786,C10H11NO2
HMDB33482,Plantagonine,177.0789786,C10H11NO2
HMDB37693,2-Propenyl 2-aminobenzoate,177.0789786,C10H11NO2
HMDB40045,5-[2H-Pyrrol-4-(3H)-ylidenemethyl]-2-furanmethanol,177.0789786,C10H11NO2
HMDB60063,NN-dimethylindoliumolate,177.0789786,C10H11NO2
HMDB00821,Phenylacetylglycine,193.0738932,C10H11NO3
HMDB00859,Methylhippuric acid,193.0738932,C10H11NO3
HMDB11723,2-Methylhippuric acid,193.0738932,C10H11NO3
HMDB13245,m-Methylhippuric acid,193.0738932,C10H11NO3
HMDB13292,p-Methylhippuric acid,193.0738932,C10H11NO3
HMDB32388,Methyl n-acetylanthranilate,193.0738932,C10H11NO3
HMDB34250,Betamipron,193.0738932,C10H11NO3
HMDB60366,3-Carbamoyl-2-phenylpropionaldehyde,193.0738932,C10H11NO3
HMDB60389,4-Hydroxy-5-phenyltetrahydro-13-oxazin-2-one,193.0738932,C10H11NO3
HMDB60758,4-Anilino-4-oxobutanoic acid,193.0738932,C10H11NO3
HMDB00735,Hydroxyphenylacetylglycine,209.0688078,C10H11NO4
HMDB60367,3-Carbamoyl-2-phenylpropionic acid,209.0688078,C10H11NO4
HMDB15492,Stepronin,273.0129492,C10H11NO4S2
HMDB37264,2-Hydroxy-47-dimethoxy-2H-14-benzoxazin-3(4H)-one,225.0637225,C10H11NO5
HMDB60026,Vanilloylglycine,225.0637225,C10H11NO5
HMDB37548,24-Dihydroxy-67-dimethoxy-2H-14-benzoxazin-3(4H)-one,241.0586371,C10H11NO6
HMDB37549,24-Dihydroxy-78-dimethoxy-2H-14-benzoxazin-3(4H)-one,241.0586371,C10H11NO6
HMDB38444,1-Isothiocyanato-3-phenylpropane,177.06122,C10H11NS
HMDB29641,p-Mentha-1358-tetraene,132.0939004,C10H12
HMDB61069,clofarabind-5'-monophosphate,383.0197756,C10H12ClFN5O6P
HMDB15420,Quinethazone,289.0287897,C10H12ClN3O3S
HMDB14387,Cladribine,285.062867,C10H12ClN5O3
HMDB14327,Baclofen,213.0556563,C10H12ClNO2
HMDB12261,Molybdenum cofactor (sulfide),538.8690542,C10H12MoN5O7PS3
HMDB02206,Molybdopterin,522.8918981,C10H12MoN5O8PS2
HMDB00303,Tryptamine,160.1000484,C10H12N2
HMDB04476,Anatabine,160.1000484,C10H12N2
HMDB14935,Tolazoline,160.1000484,C10H12N2
HMDB38456,N-Norgramine,160.1000484,C10H12N2
HMDB60064,Tryptaminium,160.1000484,C10H12N2
HMDB00259,Serotonin,176.094963,C10H12N2O
HMDB01046,Cotinine,176.094963,C10H12N2O
HMDB01004,Oxoamide,192.0898776,C10H12N2O2
HMDB01324,N'-Hydroxymethylnorcotinine,192.0898776,C10H12N2O2
HMDB01390,Hydroxycotinine,192.0898776,C10H12N2O2
HMDB01411,Cotinine N-oxide,192.0898776,C10H12N2O2
HMDB01427,5'-Hydroxycotinine,192.0898776,C10H12N2O2
HMDB00684,L-Kynurenine,208.0847923,C10H12N2O3
HMDB12948,Formyl-5-hydroxykynurenamine,208.0847923,C10H12N2O3
HMDB60757,4-Aminobenzoyl-(beta)-alanine,208.0847923,C10H12N2O3
HMDB00732,Hydroxykynurenine,224.0797069,C10H12N2O4
HMDB11631,L-3-Hydroxykynurenine,224.0797069,C10H12N2O4
HMDB12819,5-Hydroxykynurenine,224.0797069,C10H12N2O4
HMDB14787,Stavudine,224.0797069,C10H12N2O4
HMDB29397,L-Nicotianine,224.0797069,C10H12N2O4
HMDB32559,(α)-2-(1-Methylpropyl)-46-dinitrophenol,240.0746215,C10H12N2O5
HMDB60774,5-Carboxy-2'-deoxyuridine,272.0644507,C10H12N2O7
HMDB00788,Orotidine,288.0593654,C10H12N2O8
HMDB60724,24-Diamino-67-dimethoxyquinazoline,220.0960256,C10H12N4O2
HMDB15037,Didanosine,236.0909403,C10H12N4O3
HMDB00071,Deoxyinosine,252.0858549,C10H12N4O4
HMDB29956,Nebularine,252.0858549,C10H12N4O4
HMDB60791,6-Thioinosinic acid,284.0579256,C10H12N4O4S
HMDB00195,Inosine,268.0807695,C10H12N4O5
HMDB00481,Allopurinol riboside,268.0807695,C10H12N4O5
HMDB03040,Arabinosylhypoxanthine,268.0807695,C10H12N4O5
HMDB15544,Tazobactam,300.0528402,C10H12N4O5S
HMDB00299,Xanthosine,284.0756841,C10H12N4O6
HMDB29920,beta-D-3-Ribofuranosyluric acid,300.0705988,C10H12N4O7
HMDB00058,Cyclic AMP,329.0525197,C10H12N5O6P
HMDB11616,Adenosine 2'3'-cyclic phosphate,329.0525197,C10H12N5O6P
HMDB01314,Cyclic GMP,345.0474343,C10H12N5O7P
HMDB11629,Guanosine 2'3'-cyclic phosphate ,345.0474343,C10H12N5O7P
HMDB02214,Cuminaldehyde,148.088815,C10H12O
HMDB30837,Anethole,148.088815,C10H12O
HMDB31616,4-Phenyl-3-buten-2-ol,148.088815,C10H12O
HMDB32014,236-Trimethylbenzaldehyde,148.088815,C10H12O
HMDB32015,Duryl aldehyde,148.088815,C10H12O
HMDB32016,246-Trimethylbenzaldehyde,148.088815,C10H12O
HMDB32017,345-Trimethylbenzaldehyde,148.088815,C10H12O
HMDB32140,2'4'-Dimethylacetophenone,148.088815,C10H12O
HMDB33382,2-(4-Methylphenyl)propanal,148.088815,C10H12O
HMDB34121,1-Methoxy-4-(2-propenyl)benzene,148.088815,C10H12O
HMDB59845,p-Ethylacetophenone,148.088815,C10H12O
HMDB00329,2-Phenylbutyric acid,164.0837296,C10H12O2
HMDB00543,Benzenebutanoic acid,164.0837296,C10H12O2
HMDB01955,3-Phenylbutyric acid,164.0837296,C10H12O2
HMDB05802,Isoeugenol,164.0837296,C10H12O2
HMDB05809,Eugenol,164.0837296,C10H12O2
HMDB30060,Methyl 3-phenylpropanoate,164.0837296,C10H12O2
HMDB30063,Benzyl propionate,164.0837296,C10H12O2
HMDB31761,Propyl benzoate,164.0837296,C10H12O2
HMDB32038,Isopropyl benzoate,164.0837296,C10H12O2
HMDB32336,3-Hydroxy-4-phenylbutan-2-one,164.0837296,C10H12O2
HMDB32586,3-(4-Methoxyphenyl)-2-propen-1-ol,164.0837296,C10H12O2
HMDB32618,Ethyl phenylacetate,164.0837296,C10H12O2
HMDB32620,1-Phenylethyl acetate,164.0837296,C10H12O2
HMDB32891,1-(4-Methoxyphenyl)-2-propanone,164.0837296,C10H12O2
HMDB33723,4-(4-Hydroxyphenyl)-2-butanone,164.0837296,C10H12O2
HMDB33945,2-Phenylethyl acetate,164.0837296,C10H12O2
HMDB34471,3-Phenylpropyl formate,164.0837296,C10H12O2
HMDB34615,Epoxyanethole,164.0837296,C10H12O2
HMDB34732,Thymoquinone,164.0837296,C10H12O2
HMDB35213,beta-Thujaplicin,164.0837296,C10H12O2
HMDB35268,4-Isopropylbenzoic acid,164.0837296,C10H12O2
HMDB35414,Lepalone,164.0837296,C10H12O2
HMDB36098,Isoegomaketone,164.0837296,C10H12O2
HMDB37160,4-Methyl-2-phenyl-13-dioxolane,164.0837296,C10H12O2
HMDB37174,p-Mentha-24(8)-dien-93-olide,164.0837296,C10H12O2
HMDB38184,Egomaketone,164.0837296,C10H12O2
HMDB40359,12-Dimethoxy-4-vinylbenzene,164.0837296,C10H12O2
HMDB40460,4-Methylbenzyl alcohol acetate,164.0837296,C10H12O2
HMDB41472,2-Methylbenzyl alcohol acetate,164.0837296,C10H12O2
HMDB41473,(3-Methylphenyl)methyl acetate,164.0837296,C10H12O2
HMDB41612,Phenyl butyrate,164.0837296,C10H12O2
HMDB11751,3-Methoxybenzenepropanoic acid,180.0786443,C10H12O3
HMDB12915,Coniferyl alcohol,180.0786443,C10H12O3
HMDB29685,4-Ethoxy-3-methoxybenzaldehyde,180.0786443,C10H12O3
HMDB31240,2-Phenyl-13-dioxolane-4-methanol,180.0786443,C10H12O3
HMDB32128,1-(24-Dihydroxyphenyl)-1-butanone,180.0786443,C10H12O3
HMDB32174,Benzaldehyde glyceryl acetal,180.0786443,C10H12O3
HMDB32574,Propylparaben,180.0786443,C10H12O3
HMDB32640,Ethyl p-anisate,180.0786443,C10H12O3
HMDB33761,4-Methoxybenzyl acetate,180.0786443,C10H12O3
HMDB37602,4-Hydroxy-266-trimethyl-3-oxo-14-cyclohexadiene-1-carboxaldehyde,180.0786443,C10H12O3
HMDB37733,Propyl 2-furanacrylate,180.0786443,C10H12O3
HMDB60734,3-(3-Hydroxyphenyl)-2-methylpropionic acid,180.0786443,C10H12O3
HMDB00434,Homoveratric acid,196.0735589,C10H12O4
HMDB29645,Xanthoxylin,196.0735589,C10H12O4
HMDB29648,245-Trimethoxybenzaldehyde,196.0735589,C10H12O4
HMDB30571,(+)-3-(34-Methylenedioxyphenyl)-12-propanediol,196.0735589,C10H12O4
HMDB32365,Maltyl isobutyrate,196.0735589,C10H12O4
HMDB35721,(S)-Batatic acid,196.0735589,C10H12O4
HMDB37177,1-(245-Trihydroxyphenyl)-1-butanone,196.0735589,C10H12O4
HMDB39427,2-Hydroxy-3-(4-methoxyphenyl)propanoic acid,196.0735589,C10H12O4
HMDB40256,(S)-2-(4-Methoxyphenoxy)propanoic acid,196.0735589,C10H12O4
HMDB40637,4-Hydroxy-6-methyl-3-(1-oxobutyl)-2H-pyran-2-one,196.0735589,C10H12O4
HMDB60398,5-Hydroxyconiferyl alcohol,196.0735589,C10H12O4
HMDB60733,3-(3-Hydroxyphenyl)-2-methyllactic acid,196.0735589,C10H12O4
HMDB60735,3-(34-Dihydroxyphenyl)-2-methylpropionic acid,196.0735589,C10H12O4
HMDB00913,Vanillactic acid,212.0684735,C10H12O5
HMDB31704,Danielone,212.0684735,C10H12O5
HMDB33835,Propyl gallate,212.0684735,C10H12O5
HMDB33839,Eudesmic acid,212.0684735,C10H12O5
HMDB34493,Valtrate,212.0684735,C10H12O5
HMDB41286,23-Dihydroxy-1-(4-hydroxy-3-methoxyphenyl)-1-propanone,212.0684735,C10H12O5
HMDB41661,34-Dihydroxyphenyllactic acid methyl ester,212.0684735,C10H12O5
HMDB41663,3-(34-Dihydroxyphenyl)-2-methoxypropionic acid,212.0684735,C10H12O5
HMDB41665,3-Hydroxy-4-methoxyphenyllactic acid,212.0684735,C10H12O5
HMDB60557,beta-(2-Methoxyphenoxy)-lactic acid,212.0684735,C10H12O5
HMDB59983,4-phenylbutanic acid-O-sulphate,244.0405442,C10H12O5S
HMDB39177,1-O-Galloylglycerol,244.0583027,C10H12O7
HMDB41724,Dihydroferulic acid 4-sulfate,276.0303734,C10H12O7S
HMDB61008,m-chlorophenylpiperazine (m-CPP),196.0767261,C10H13ClN2
HMDB14810,Chlorpropamide,276.0335407,C10H13ClN2O3S
HMDB14024,2-Hydroxychlorpropamide,292.0284553,C10H13ClN2O4S
HMDB14025,3-Hydroxychlorpropamide,292.0284553,C10H13ClN2O4S
HMDB34633,3-Chloro-1-(4-hydroxy-3-methoxyphenyl)-12-propanediol,232.0502366,C10H13ClO4
HMDB15206,Fludarabine,365.0536625,C10H13FN5O7P
HMDB29709,5678-Tetrahydro-4-methylquinoline,147.1047994,C10H13N
HMDB30346,(S)-Actinidine,147.1047994,C10H13N
HMDB01010,Nicotine imine,161.1078734,C10H13N2
